time (ms),qx,qy,qz,qw,qx2,qy2,qz2,qw2,mx1,my1,mz1,mx2,my2,mz2,gx1,gy1,gz1,gx2,gy2,gz2,ax1,ay1,az1,ax2,ay2,az2,lx1,ly1,lz1,lx2,ly2,lz2,grx1,gry1,grz1,grx2,gry2,grz2
15173,-0.86492919921875,-0.42694091796875,-0.099365234375,0.24444580078125,-0.43096923828125,-0.404541015625,-0.642333984375,0.48785400390625,-2.25,3.6875,53.875,-49.875,-8.75,4.5,-0.005555555555555556,0.0033333333333333335,-0.0011111111111111111,-0.024444444444444446,-0.0044444444444444444,-0.016666666666666666,3.43,-3.15,-8.14,9.26,0.94,2.97,-0.3,0.16,0.29,-0.03,-0.01,-0.01,5.01,-3.31,-8.44,9.3,0.97,2.95
15213,-0.86492919921875,-0.42694091796875,-0.099365234375,0.24444580078125,-0.43096923828125,-0.40447998046875,-0.64263916015625,0.48748779296875,-3.0625,4.5,52.6875,-49.1875,-8.75,2.5,0.15222222222222223,-0.0011111111111111111,0.0011111111111111111,-0.02,0.0011111111111111111,-0.02,4.7,-3.17,-8.18,9.26,0.95,2.97,-0.31,0.14,0.25,-0.03,-0.04,0.06,5.01,-3.31,-8.44,9.29,0.98,2.95
15253,-0.86492919921875,-0.42694091796875,-0.099365234375,0.24444580078125,-0.43109130859375,-0.40435791015625,-0.64288330078125,0.4871826171875,-3.0625,4.0625,52.6875,-48.375,-8.75,4.0625,-0.0022222222222222222,0.0,-0.0033333333333333335,-0.01888888888888889,-0.0044444444444444444,-0.005555555555555556,3.43,-3.13,-8.13,9.25,0.99,2.96,-0.29,0.18,0.3,-0.07,0.0,0.01,5.01,-3.31,-8.44,9.29,0.97,2.95
15294,-0.86492919921875,-0.42694091796875,-0.09930419921875,0.24444580078125,-0.4312744140625,-0.4041748046875,-0.64288330078125,0.4871826171875,-2.25,4.5,52.1875,-49.875,-8.0625,3.25,0.15222222222222223,-0.011111111111111112,0.005555555555555556,-0.008888888888888889,-0.0011111111111111111,0.025555555555555557,3.43,-3.18,-8.19,9.24,0.96,2.96,-0.29,0.16,0.3,-0.07,0.0,0.01,5.0,-3.31,-8.44,9.3,0.96,2.95
15332,-0.864990234375,-0.427001953125,-0.09893798828125,0.2442626953125,-0.4315185546875,-0.40386962890625,-0.64263916015625,0.495361328125,-3.5,4.875,53.0625,-48.75,-8.75,4.875,0.15666666666666668,-0.028888888888888888,0.015555555555555555,-0.01888888888888889,0.0033333333333333335,0.03888888888888889,3.43,-3.2,-8.18,9.24,0.91,2.99,-0.33,0.12,0.25,-0.05,-0.03,0.04,3.71,-3.31,-8.44,9.3,0.94,2.95
15371,-0.86505126953125,-0.4268798828125,-0.0985107421875,0.24432373046875,-0.43218994140625,-0.40313720703125,-0.64239501953125,0.48785400390625,-3.5,4.875,53.0625,-48.75,-8.75,4.875,0.14777777777777779,-0.01888888888888889,0.012222222222222223,-0.04,-0.015555555555555555,0.05333333333333334,3.38,-3.18,-8.19,9.3,0.87,2.99,-0.32,0.13,0.27,1.28,-0.06,0.04,3.71,-3.32,-8.44,9.3,0.92,2.95
15410,-0.86517333984375,-0.4267578125,-0.09820556640625,0.24432373046875,-0.43310546875,-0.40234375,-0.64208984375,0.4959716796875,-3.75,5.1875,53.5,-49.5625,-8.5,3.6875,0.14888888888888888,-0.011111111111111112,0.012222222222222223,-0.03888888888888889,-0.012222222222222223,0.05555555555555555,4.7,-3.21,-8.18,9.26,0.86,2.96,-0.32,0.12,0.25,-0.03,-0.04,0.01,3.7,-3.32,-8.44,9.3,0.9,2.94
15451,-0.865234375,-0.4266357421875,-0.0980224609375,0.24432373046875,-0.43389892578125,-0.4017333984375,-0.6416015625,0.496337890625,-3.5,4.5,53.0,-48.375,-8.5,3.25,0.011111111111111112,-0.011111111111111112,0.011111111111111112,0.014444444444444444,0.0033333333333333335,0.04888888888888889,3.37,-3.19,-8.18,9.31,0.79,2.92,-0.34,0.11,0.25,1.28,-0.09,-0.02,3.7,-3.32,-8.44,9.31,0.88,2.94
15492,-0.86529541015625,-0.42669677734375,-0.09783935546875,0.2442626953125,-0.4342041015625,-0.4013671875,-0.641357421875,0.4967041015625,-2.6875,4.875,52.6875,-50.25,-8.0625,2.875,0.14888888888888888,0.0033333333333333335,0.0033333333333333335,-0.021111111111111112,-0.0077777777777777776,0.015555555555555555,3.34,-3.25,-8.26,9.28,0.8,2.93,-0.33,0.1,0.23,-0.02,-0.07,-0.01,3.7,-3.32,-8.44,9.31,0.87,2.94
15534,-0.86529541015625,-0.4266357421875,-0.097900390625,0.2442626953125,-0.4344482421875,-0.40118408203125,-0.6412353515625,0.49688720703125,-2.6875,4.5,53.0,-49.1875,-7.6875,3.6875,-0.014444444444444444,0.01,-0.006666666666666667,0.01,-0.0011111111111111111,0.021111111111111112,3.39,-3.16,-8.14,9.29,0.83,2.97,-0.29,0.12,0.25,-0.02,-0.04,0.03,4.98,-3.32,-8.44,9.31,0.87,2.94
